format_1,,format_2,Keyword 1,SV,Keyword 2,SV,VTT or SRT?,Already on HappyScribe?,URL
vtt, to ,pdf,convert vtt to pdf,30,vtt to pdf,150,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-pdf
vtt, to ,txt,convert vtt to txt,100,vtt to txt,250,x,Yes,https://www.happyscribe.com/subtitle-tools/convert-vtt-to-txt
pdf, to ,stl,convert pdf to stl,60,pdf to stl,200,,,https://www.happyscribe.com/subtitle-tools/convert-pdf-to-stl
stl, to ,pdf,convert stl to pdf,20,stl to pdf,90,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-pdf
srt, to ,scc,convert srt to scc,70,srt to scc,80,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-scc
txt, to ,stl,convert txt to stl,,txt to stl,30,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-stl
sbv, to ,txt,convert sbv to txt,,sbv to txt,20,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-txt
csv, to ,stl,convert csv to stl,,csv to stl,10,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-stl
sbv, to ,pdf,convert sbv to pdf,,sbv to pdf,10,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-pdf
stl, to ,txt,convert stl to txt,,stl to txt,10,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-txt
xml, to ,stl,convert xml to stl,,xml to stl,10,,,https://www.happyscribe.com/subtitle-tools/convert-xml-to-stl
ttml, to ,txt,convert ttml to txt,,ttml to txt,10,,,https://www.happyscribe.com/subtitle-tools/convert-ttml-to-txt
word, to ,stl,convert word to stl,,word to stl,10,,,https://www.happyscribe.com/subtitle-tools/convert-word-to-stl
csv, to ,qt,convert csv to qt,,csv to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-qt
csv, to ,sbv,convert csv to sbv,,csv to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-sbv
csv, to ,smi,convert csv to smi,,csv to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-smi
csv, to ,dfxp,convert csv to dfxp,,csv to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-dfxp
csv, to ,rt,convert csv to rt,,csv to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-rt
csv, to ,scc,convert csv to scc,,csv to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-scc
csv, to ,ssa,convert csv to ssa,,csv to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-ssa
csv, to ,sub,convert csv to sub,,csv to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-sub
csv, to ,ttml,convert csv to ttml,,csv to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-ttml
csv, to ,vtt,convert csv to vtt,,csv to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-vtt
csv, to ,lrc,convert csv to lrc,,csv to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-lrc
csv, to ,sup,convert csv to sup,,csv to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-sup
csv, to ,itt,convert csv to itt,,csv to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-itt
csv, to ,webvtt,convert csv to webvtt,,csv to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-webvtt
csv, to ,idx,convert csv to idx,,csv to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-idx
csv, to ,rtmp,convert csv to rtmp,,csv to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-rtmp
csv, to ,pgs,convert csv to pgs,,csv to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-csv-to-pgs
qt, to ,csv,convert qt to csv,,qt to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-csv
qt, to ,sbv,convert qt to sbv,,qt to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-sbv
qt, to ,srt,convert qt to srt,,qt to srt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-srt
qt, to ,stl,convert qt to stl,,qt to stl,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-stl
qt, to ,smi,convert qt to smi,,qt to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-smi
qt, to ,txt,convert qt to txt,,qt to txt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-txt
qt, to ,xml,convert qt to xml,,qt to xml,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-xml
qt, to ,dfxp,convert qt to dfxp,,qt to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-dfxp
qt, to ,rt,convert qt to rt,,qt to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-rt
qt, to ,scc,convert qt to scc,,qt to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-scc
qt, to ,ssa,convert qt to ssa,,qt to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-ssa
qt, to ,sub,convert qt to sub,,qt to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-sub
qt, to ,ttml,convert qt to ttml,,qt to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-ttml
qt, to ,vtt,convert qt to vtt,,qt to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-vtt
qt, to ,lrc,convert qt to lrc,,qt to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-lrc
qt, to ,word,convert qt to word,,qt to word,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-word
qt, to ,pdf,convert qt to pdf,,qt to pdf,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-pdf
qt, to ,docx,convert qt to docx,,qt to docx,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-docx
qt, to ,doc,convert qt to doc,,qt to doc,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-doc
qt, to ,sup,convert qt to sup,,qt to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-sup
qt, to ,itt,convert qt to itt,,qt to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-itt
qt, to ,webvtt,convert qt to webvtt,,qt to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-webvtt
qt, to ,idx,convert qt to idx,,qt to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-idx
qt, to ,rtmp,convert qt to rtmp,,qt to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-rtmp
qt, to ,pgs,convert qt to pgs,,qt to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-qt-to-pgs
sbv, to ,csv,convert sbv to csv,,sbv to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-csv
sbv, to ,qt,convert sbv to qt,,sbv to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-qt
sbv, to ,stl,convert sbv to stl,,sbv to stl,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-stl
sbv, to ,smi,convert sbv to smi,,sbv to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-smi
sbv, to ,xml,convert sbv to xml,,sbv to xml,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-xml
sbv, to ,dfxp,convert sbv to dfxp,,sbv to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-dfxp
sbv, to ,rt,convert sbv to rt,,sbv to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-rt
sbv, to ,scc,convert sbv to scc,,sbv to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-scc
sbv, to ,ssa,convert sbv to ssa,,sbv to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-ssa
sbv, to ,sub,convert sbv to sub,,sbv to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-sub
sbv, to ,ttml,convert sbv to ttml,,sbv to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-ttml
sbv, to ,lrc,convert sbv to lrc,,sbv to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-lrc
sbv, to ,word,convert sbv to word,,sbv to word,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-word
sbv, to ,docx,convert sbv to docx,,sbv to docx,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-docx
sbv, to ,doc,convert sbv to doc,,sbv to doc,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-doc
sbv, to ,sup,convert sbv to sup,,sbv to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-sup
sbv, to ,itt,convert sbv to itt,,sbv to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-itt
sbv, to ,webvtt,convert sbv to webvtt,,sbv to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-webvtt
sbv, to ,idx,convert sbv to idx,,sbv to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-idx
sbv, to ,rtmp,convert sbv to rtmp,,sbv to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-rtmp
sbv, to ,pgs,convert sbv to pgs,,sbv to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-sbv-to-pgs
srt, to ,csv,convert srt to csv,,srt to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-csv
srt, to ,qt,convert srt to qt,,srt to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-qt
srt, to ,sbv,convert srt to sbv,,srt to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-sbv
srt, to ,rt,convert srt to rt,,srt to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-rt
srt, to ,sub,convert srt to sub,,srt to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-sub
srt, to ,sup,convert srt to sup,,srt to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-sup
srt, to ,itt,convert srt to itt,,srt to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-itt
srt, to ,rtmp,convert srt to rtmp,,srt to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-rtmp
srt, to ,pgs,convert srt to pgs,,srt to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-srt-to-pgs
stl, to ,csv,convert stl to csv,,stl to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-csv
stl, to ,qt,convert stl to qt,,stl to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-qt
stl, to ,sbv,convert stl to sbv,,stl to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-sbv
stl, to ,smi,convert stl to smi,,stl to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-smi
stl, to ,xml,convert stl to xml,,stl to xml,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-xml
stl, to ,dfxp,convert stl to dfxp,,stl to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-dfxp
stl, to ,rt,convert stl to rt,,stl to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-rt
stl, to ,scc,convert stl to scc,,stl to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-scc
stl, to ,ssa,convert stl to ssa,,stl to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-ssa
stl, to ,sub,convert stl to sub,,stl to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-sub
stl, to ,ttml,convert stl to ttml,,stl to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-ttml
stl, to ,vtt,convert stl to vtt,,stl to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-vtt
stl, to ,lrc,convert stl to lrc,,stl to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-lrc
stl, to ,word,convert stl to word,,stl to word,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-word
stl, to ,docx,convert stl to docx,,stl to docx,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-docx
stl, to ,doc,convert stl to doc,,stl to doc,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-doc
stl, to ,sup,convert stl to sup,,stl to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-sup
stl, to ,itt,convert stl to itt,,stl to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-itt
stl, to ,webvtt,convert stl to webvtt,,stl to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-webvtt
stl, to ,idx,convert stl to idx,,stl to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-idx
stl, to ,rtmp,convert stl to rtmp,,stl to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-rtmp
stl, to ,pgs,convert stl to pgs,,stl to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-stl-to-pgs
smi, to ,csv,convert smi to csv,,smi to csv,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-csv
smi, to ,qt,convert smi to qt,,smi to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-qt
smi, to ,sbv,convert smi to sbv,,smi to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-sbv
smi, to ,stl,convert smi to stl,,smi to stl,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-stl
smi, to ,txt,convert smi to txt,,smi to txt,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-txt
smi, to ,xml,convert smi to xml,,smi to xml,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-xml
smi, to ,dfxp,convert smi to dfxp,,smi to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-dfxp
smi, to ,rt,convert smi to rt,,smi to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-rt
smi, to ,scc,convert smi to scc,,smi to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-scc
smi, to ,ssa,convert smi to ssa,,smi to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-ssa
smi, to ,sub,convert smi to sub,,smi to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-sub
smi, to ,ttml,convert smi to ttml,,smi to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-ttml
smi, to ,vtt,convert smi to vtt,,smi to vtt,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-vtt
smi, to ,lrc,convert smi to lrc,,smi to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-lrc
smi, to ,word,convert smi to word,,smi to word,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-word
smi, to ,pdf,convert smi to pdf,,smi to pdf,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-pdf
smi, to ,docx,convert smi to docx,,smi to docx,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-docx
smi, to ,doc,convert smi to doc,,smi to doc,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-doc
smi, to ,sup,convert smi to sup,,smi to sup,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-sup
smi, to ,itt,convert smi to itt,,smi to itt,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-itt
smi, to ,webvtt,convert smi to webvtt,,smi to webvtt,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-webvtt
smi, to ,idx,convert smi to idx,,smi to idx,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-idx
smi, to ,rtmp,convert smi to rtmp,,smi to rtmp,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-rtmp
smi, to ,pgs,convert smi to pgs,,smi to pgs,,,,https://www.happyscribe.com/subtitle-tools/convert-smi-to-pgs
txt, to ,qt,convert txt to qt,,txt to qt,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-qt
txt, to ,sbv,convert txt to sbv,,txt to sbv,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-sbv
txt, to ,smi,convert txt to smi,,txt to smi,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-smi
txt, to ,dfxp,convert txt to dfxp,,txt to dfxp,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-dfxp
txt, to ,rt,convert txt to rt,,txt to rt,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-rt
txt, to ,scc,convert txt to scc,,txt to scc,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-scc
txt, to ,ssa,convert txt to ssa,,txt to ssa,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-ssa
txt, to ,sub,convert txt to sub,,txt to sub,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-sub
txt, to ,ttml,convert txt to ttml,,txt to ttml,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-ttml
txt, to ,lrc,convert txt to lrc,,txt to lrc,,,,https://www.happyscribe.com/subtitle-tools/convert-txt-to-lrc
